latitude,longitude,name,address,site
39.7414659,-104.987825,Modworks Coworking,"110 16th St #1300 Denver CO 80202","http://www.modworks.com/"
39.7589209,-104.986191,Green Spaces,"1368 26th St Denver CO 80205","http://www.greenspaces.com/"
39.7437444,-104.976383,Creative Density Coworking,"1719 Emerson St Denver CO 80218","http://www.densitycoworking.com/"
39.721832899,-104.974210,Shift Workspaces,"383 Corona St Denver CO 80218","http://www.shiftworkspaces.com/"
39.7500162,-105.000371,Uncubed,"1507 Blake St Denver CO 80202","http://www.uncubedspace.com/"
39.768855599,-104.980999,Converge,"3327 Brighton Blvd Denver CO 80216","http://www.convergedenver.com/"
39.756794x,-104.989862,Thrive Workplace - Ballpark,"1415 Park Ave W Denver CO 80205","http://thriveworkplace.com/"
39.733464x,-104.992615,Galvanize Denver,"1062 Delaware St Denver CO 80204","http://galvanize.com/"
39.7196243,-104.952494,Thrive Workplace Solutions,"201 Milwaukee Street #200 Denver CO","http://thriveworkplace.com/"
39.7629005,-104.979225,Green Labs Co-Working,"1250 31st St Denver CO 80205","http://www.greenlabsdenver.com/"
39.7576313,-105.007014,Galvanize Denver- Platte,"1644 Platte St Denver CO 80202","http://galvanize.com/"
39.7720246,-104.981613,WiMi,"3461 Ringsby Ct Denver CO 80216","http://www.wimispaces.com/"
39.759262,-104.983172,Laundry on Lawrence,"2701 Lawrence St Denver CO 80205","http://www.laundryonlawrence.com/"
39.7501366,-104.997466,Office Evolution Denver,"1624 Market St Suite 202 Denver CO 80","http://www.officeevolution.com//locations//colorado-denver-1624"
39.727976,-104.999052,The ZONE Business Connection Center,"725 Santa Fe Dr Denver CO 80204","http://santafedrive.org/zone/"
39.772601699,-105.011464,Sunnyside Station,"4047 Tejon St Denver CO 80211","http://www.sunnysidestation.com/"
39.7515803,-105.002161,Intelligent Office LoDo,"1515 Wynkoop St #360 Denver CO 8020","http://www.intelligentoffice.com/coloradoenver-downtown-lodo"
39.745294,-104.990797,YourOffice,"Dominion Towers, 600 17th St #2800 Denver CO","http://www.yourofficedenver.com/"
39.742211999,-104.962575,Steno,"1627 Vine St Denver CO 80206","http://www.stenodenver.com/"